SiteID,Sales_Goal,Cars_Goal,Region,Name,Location,Company
01A,79355,12776,AZ,Power Road Carwash,"Sudsy's (Mesa, AZ)",LP14
01C,57564,9292,CA,Milburn Ave Carwash   ,"Milburn Ave Carwash LP (Fresno, CA)",LP14
01N,69573,10818,NV,Carson Street Carwash,"Carson Street Carwash LP (Carson City, NV)",LP14
02A,93575,16203,AZ,Bell Road Carwash   ,"Bell Road Car Wash LP (Phoenix, AZ)",LP14
02C,121795,14142,CA,Cherry Ave Carwash,"Raceway Car Wash (Fontana, CA)",LP14
02N,84369,8553,NV,Nichols Blvd Carwash   ,"Nichols Boulevard Carwash LP (Sparks, NV)",LP14
03A,112866,20714,AZ,Encanto Road Carwash   ,"Encanto Road Carwash (Phoenix, AZ)",LP14
03C,153398,7896,CA,La Quinta Carwash   ,"La Quinta Car Wash (La Quinta, CA)",LP21
03N,66684,10530,NV,South McCarran Carwash   ,"South McCarran Carwash LP (Reno, NV)",LP14
04A,116386,20035,AZ,51st Ave Carwash   ,"Super Star Car Wash - 51st Ave (Phoenix, AZ)",LP14
04C,32604,4903,CA,Academy Ave Carwash,"Water Wheel Express Inc - Full Service (Sanger, CA)",LP21
04N,32616,6155,NV,North McCarran Carwash   ,"North McCarran Carwash LP (Sparks, NV)",LP14
05A,114318,7063,AZ,75th Ave Carwash   ,"Super Star Car Wash - 75th Ave (Phoenix, AZ)",LP14
05C,75416,11257,CA,Ventura Ave Carwash,"Water Wheel Express Wash #3 (Fresno, CA)",LP21
05N,26094,5799,NV,Rock Blvd Carwash   ,"Rock Boulevard Carwash LP (Sparks, NV)",LP14
06A,114517,20935,AZ,67th Ave Carwash,"Super Star Car Wash (Phoenix, AZ)",LP14
06C,62598,9791,CA,Villa Ave Carwash,"Water Wheel Express Car Wash (Clovis, CA)",LP21
07A,83399,14372,AZ,Thomas Road Carwash,"Quick N Clean Express Wash #27 (Phoenix, AZ)",LP14
07N,35989,4484,NV,South Lake Tahoe Carwash   ,"Sierra Suds Car Wash (South Lake Tahoe, CA)",LP14
08A,60670,15297,AZ,Mesa Drive Carwash,"Quick N Clean Express Wash #18 (Mesa, AZ)",LP14
09A,97203,16925,AZ,Scottsdale Road Car Wash   ,"Scottsdale Road Carwash (Scottsdale, AZ)",LP14
10A,54332,9654,AZ,Warner Road Carwash   ,"Warner Rd Carwash (Chandler, AZ)",LP14
11A,30007,4763,AZ,Dunlap Ave Carwash   ,"Dunlap Rd Carwash (Phoenix, AZ)",LP14
12A,93056,19192,AZ,43rd Ave Carwash   ,"43rd Ave Carwash (Phoenix, AZ)",LP14
14A,53854,7906,AZ,Glendale Ave Carwash   ,"Glendale Ave Carwash (Phoenix, AZ)",LP14
15A,52429,5110,AZ,Thunderbird Road Carwash   ,"Thunderbird Ave Carwash (Peoria, AZ)",LP14
