Name,SiteID,Metric,1,2,3,4,5,6,7,8,9,10,11,12
1st Street Carwash,x,Sales,50854.5,113899.037,95018.7777,145438.2392,99263.468,144419.3783,180418.0218,160634.0761,135390.192,89885.61,155061.775,137923.6283
1st Street Carwash,x,Cars,11581,16738,15913,20326,15267,23097,27153,25765,21279,13712,24634,21555
1st Street Carwash,x,Labor,11013.41,22779.8074,19003.7555,29087.6478,19852.6936,28883.8757,36083.6044,32126.8152,27078.0384,17977.122,31012.355,27584.7257
37th Ave Carwash ,x,Sales,6146.75,9129.8164,10415.4781,11295.6745,12314.4464,9293.422,9004.4,7916.4116,6908.8,12603.8969,8246.8633,9836.7084
37th Ave Carwash ,x,Cars,3795,3795,3795,3795,3795,3795,3795,3795,3795,3830,3830,3795
37th Ave Carwash ,x,Labor,963.53,2738.9449,3124.6434,3388.7023,3694.3339,2788.0266,2701.32,2374.9235,2072.64,3781.1691,2474.059,2951.0125
43rd Ave Carwash,12A,Sales,58238.86,84504.1325,89349.5307,93055.6891,96195.5052,99001.6236,98287.9746,88536.2928,103919.7655,98635.6146,96325.3273,98037.9111
43rd Ave Carwash,12A,Cars,9154,15546,20158,19192,23946,24290,21748,17522,19458,18623,18860,18276
43rd Ave Carwash,12A,Labor,13341.04,13478.161,14250.9877,14842.1091,15342.9005,15790.4682,15676.6433,14121.2787,16574.8973,15732.0908,15363.6068,15636.7588
51st Ave Carwash,04A,Sales,70760.42,123153.728,125469.0428,116385.6746,126380.803,109119.4712,117286.8947,95760.5554,103024.9562,103647.0818,114607.7554,117439.4331
51st Ave Carwash,04A,Cars,11393,19765,20562,20035,23822,19287,21194,16444,16717,13337,16928,17542
51st Ave Carwash,04A,Labor,15767.09,19457.456,19823.2601,18388.1493,19967.3121,17240.1384,18530.536,15129.5201,16277.2462,16375.5379,18107.2501,18554.6361
67th Ave Carwash,06A,Sales,70216.63,108894.7384,120122.179,114517.327,127388.2725,109414.4341,122638.2981,97953.6696,101279.1313,110833.8596,106299.3933,119164.9609
67th Ave Carwash,06A,Cars,10952,19443,21790,20935,24687,20621,23530,18792,18053,14982,18195,19185
67th Ave Carwash,06A,Labor,14695.93,17664.514,19485.7892,18576.5902,20664.4688,17748.8172,19893.9451,15889.6931,16429.1376,17979.0713,17243.5065,19330.5127
75th Ave Carwash,05A,Sales,63948.83,133125.2817,129898.2497,114317.8462,113089.3911,96671.9996,108491.611,82610.3194,93495.6952,93949.9952,90195.1558,78252.6557
75th Ave Carwash,05A,Cars,5968,7950,8023,7063,7345,5733,6556,4486,5322,4973,6945,7043
75th Ave Carwash,05A,Labor,36821.08,57380.3339,55989.4022,49273.8577,48744.3627,41668.0553,46762.6042,35607.1187,40298.9885,40494.8033,38876.3734,33728.8564
Academy Ave Carwash,04C,Sales,10998,29961.5484,31242.0858,32604.0579,34068.0444,35628.3612,37292.7761,39052.3675,41743.9812,39778.0767,42400.0754,27798.1483
Academy Ave Carwash,04C,Cars,3767,4505,4698,4903,5123,5358,5608,5873,6276,5978,6371,4174
Academy Ave Carwash,04C,Labor,5662.75,8389.2335,8747.784,9129.1362,9539.0524,9975.9412,10441.9773,10934.6629,11688.3147,11137.8615,11872.0211,7783.4815
Bell Road Carwash,02A,Sales,61844.85,86413.7448,104640.5839,93575.1908,113272.3035,89708.3908,96478.855,78984.8394,84187.2397,91649.181,90100.8586,88865.6933
Bell Road Carwash,02A,Cars,10700,18718,17862,16203,21717,16760,18529,15129,15317,16327,13579,13740
Bell Road Carwash,02A,Labor,15221.21,16440.579,19908.312,17803.0743,21550.533,17067.3993,18355.5086,15027.1985,16016.9771,17436.6428,17142.068,16907.0725
Bethany Road Carwash,x,Sales,0,0,0,0,0,0,0,0,0,0,40755.5185,50883.3484
Bethany Road Carwash,x,Cars,0,0,0,0,0,0,0,0,0,0,7738,9636
Bethany Road Carwash,x,Labor,0,0,0,0,0,0,0,0,0,0,8151.1037,10176.6697
Carson City Commerical ,x,Sales,23600,24187.038,24240.4551,24264.2573,23327.74,24327.2,23955.23,23600,23580.36,24900,24026.7867,24169.0489
Carson City Commerical ,x,Cars,0,0,0,0,0,0,0,0,0,0,0,0
Carson City Commerical ,x,Labor,0,6772.3706,6787.3275,6793.992,6531.7672,6811.616,6707.4644,6608,6602.5008,6972,6727.5003,6767.3336
Carson Street Carwash,01N,Sales,45865.47,116482.7232,64023.434,69572.9641,85360.3302,116675.9773,85811.9436,89387.6415,97640.8186,51301.744,80281.3516,77262.6806
Carson Street Carwash,01N,Cars,4742,11169,10988,10818,10994,10936,10607,12366,15139,7666,11727,11513
Carson Street Carwash,01N,Labor,19077.26,37950.7142,20859.1882,22667.2557,27810.8667,38013.6774,27958.0049,29122.987,31811.9176,16714.3914,26156.1075,25172.6078
Chandler Blvd Carwash,x,Sales,27822,37941.9068,44272.2262,0,34565.5394,35670.0701,37069.0058,38482.6314,38051.8783,42919.2647,42382.948,42801.6748
Chandler Blvd Carwash,x,Cars,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167,3167
