SiteID,Name,Company,Region,Location
01A,Power Road Carwash,LP14,AZ,"Sudsy's (Mesa, AZ)"
01C,Milburn Ave Carwash,LP14,CA,"Milburn Ave Carwash LP (Fresno, CA)"
01N,Carson Street Carwash,LP14,NV,"Carson Street Carwash LP (Carson City, NV)"
02A,Bell Road Carwash,LP14,AZ,"Bell Road Car Wash LP (Phoenix, AZ)"
02C,Cherry Ave Carwash ,LP14,CA,"Raceway Car Wash (Fontana, CA)"
02N,Nichols Blvd Carwash,LP14,NV,"Nichols Boulevard Carwash LP (Sparks, NV)"
03A,Encanto Road Carwash,LP14,AZ,"Encanto Road Carwash (Phoenix, AZ)"
03C,La Quinta Carwash,LP21,CA,"La Quinta Car Wash (La Quinta, CA)"
03N,South McCarran Carwash,LP14,NV,"South McCarran Carwash LP (Reno, NV)"
04A,51st Ave Carwash,LP14,AZ,"Super Star Car Wash - 51st Ave (Phoenix, AZ)"
04C,Academy Ave Carwash,LP21,CA,"Water Wheel Express Inc - Full Service (Sanger, CA)"
04N,North McCarran Carwash,LP14,NV,"North McCarran Carwash LP (Sparks, NV)"
05A,75th Ave Carwash,LP14,AZ,"Super Star Car Wash - 75th Ave (Phoenix, AZ)"
05C,Ventura Ave Carwash,LP21,CA,"Water Wheel Express Wash #3 (Fresno, CA)"
05N,Rock Blvd Carwash,LP14,NV,"Rock Boulevard Carwash LP (Sparks, NV)"
06A,67th Ave Carwash,LP14,AZ,"Super Star Car Wash (Phoenix, AZ)"
06C,Villa Ave Carwash,LP21,CA,"Water Wheel Express Car Wash (Clovis, CA)"
07A,Thomas Road Carwash,LP14,AZ,"Quick N Clean Express Wash #27 (Phoenix, AZ)"
07N,South Lake Tahoe Carwash,LP14,NV,"Sierra Suds Car Wash (South Lake Tahoe, CA)"
08A,Mesa Drive Carwash,LP14,AZ,"Quick N Clean Express Wash #18 (Mesa, AZ)"
09A,Scottsdale Road Car Wash,LP14,AZ,"Scottsdale Road Carwash (Scottsdale, AZ)"
10A,Warner Road Carwash,LP14,AZ,"Warner Rd Carwash (Chandler, AZ)"
11A,Dunlap Ave Carwash,LP14,AZ,"Dunlap Rd Carwash (Phoenix, AZ)"
12A,43rd Ave Carwash,LP14,AZ,"43rd Ave Carwash (Phoenix, AZ)"
14A,Glendale Ave Carwash,LP14,AZ,"Glendale Ave Carwash (Phoenix, AZ)"
15A,Thunderbird Road Carwash,LP14,AZ,"Thunderbird Ave Carwash (Peoria, AZ)"
16A,University Drive Carwash,LP14,AZ,"University Drive Car Wash (Tempe, AZ)"
