Location,Month Sales,Projected,Month Cars,Projected
"Sudsy's (Mesa, AZ)","$76,756","$79,315","12,903","13,333"
"Milburn Ave Carwash LP (Fresno, CA)","$28,214","$29,154","4,278","4,421"
"Carson Street Carwash LP (Carson City, NV)","$91,636","$94,691","9,200","9,507"
"Bell Road Car Wash LP (Phoenix, AZ)","$98,164","$101,436","18,392","19,005"
"Raceway Car Wash (Fontana, CA)","$140,282","$144,958","16,668","17,224"
"Nichols Boulevard Carwash LP (Sparks, NV)","$86,639","$89,527","5,014","5,181"
"Encanto Road Carwash (Phoenix, AZ)","$99,580","$102,899","17,865","18,460"
"La Quinta Car Wash (La Quinta, CA)","$182,356","$188,435","9,015","9,316"
"South McCarran Carwash LP (Reno, NV)","$72,752","$75,177","7,999","8,266"
"Super Star Car Wash - 51st Ave (Phoenix, AZ)","$112,787","$116,547","18,370","18,982"
"Water Wheel Express Inc - Full Service (Sanger, CA)","$29,670","$30,659","4,254","4,396"
"North McCarran Carwash LP (Sparks, NV)","$33,486","$34,602","4,285","4,428"
"Super Star Car Wash - 75th Ave (Phoenix, AZ)","$108,198","$111,805","6,817","7,044"
"Water Wheel Express Wash #3 (Fresno, CA)","$46,016","$47,550","7,281","7,524"
"Rock Boulevard Carwash LP (Sparks, NV)","$31,565","$32,617","4,311","4,455"
"Super Star Car Wash (Phoenix, AZ)","$113,113","$116,883","19,379","20,025"
"Water Wheel Express Car Wash (Clovis, CA)","$52,355","$54,100","7,648","7,903"
"Quick N Clean Express Wash #27 (Phoenix, AZ)","$84,494","$87,310","15,998","16,531"
"Sierra Suds Car Wash (South Lake Tahoe, CA)","$7,649","$7,904",890,920
"Quick N Clean Express Wash #18 (Mesa, AZ)","$53,873","$55,669","10,543","10,894"
"Scottsdale Road Carwash (Scottsdale, AZ)","$103,745","$107,203","18,667","19,289"
"Warner Rd Carwash (Chandler, AZ)","$64,316","$66,460","6,869","7,098"
"Dunlap Rd Carwash (Phoenix, AZ)","$34,249","$35,391","5,512","5,696"
"43rd Ave Carwash (Phoenix, AZ)","$112,682","$116,438","18,277","18,886"
"Glendale Ave Carwash (Phoenix, AZ)","$64,445","$66,593","12,051","12,453"
"Thunderbird Ave Carwash (Peoria, AZ)","$42,275","$43,684","4,942","5,107"
